ccy,date,rate
HUF,2005-11-29,0.004675809745042122
ILS,2005-11-29,0.2142382758103563
INR,2005-11-29,0.02181025081788441
JPY,2005-11-29,0.008364001338240216
KRW,2005-11-29,0.0009629272989889263
MYR,2005-11-29,0.2645712622694923
NOK,2005-11-29,0.14828654892714682
NZD,2005-11-29,0.7008199593524423
PLN,2005-11-29,0.3014863275950436
RUB,2005-11-29,0.034738747251296616
SAR,2005-11-29,0.2666382252559727
SEK,2005-11-29,0.12365372012216988
SGD,2005-11-29,0.5904930617065249
THB,2005-11-29,0.024257125530624615
TRY,2005-11-29,0.7371913011426465
TWD,2005-11-29,0.02983605090030284
USD,2005-11-29,1.0
ZAR,2005-11-29,0.15399303951461393
AUD,2005-11-30,0.7401924500370096
CAD,2005-11-30,0.8557247989046722
CHF,2005-11-30,0.7604562737642586
CNY,2005-11-30,0.12382980831145672
CZK,2005-11-30,0.0407502944208772
DKK,2005-11-30,0.15811776611220038
EUR,2005-11-30,1.1785776085827997
GBP,2005-11-30,1.7304031839418583
HKD,2005-11-30,0.12895072792685913
HUF,2005-11-30,0.004659945161765337
ILS,2005-11-30,0.2144864122857817
INR,2005-11-30,0.02178649237472767
JPY,2005-11-30,0.008355614973262029
KRW,2005-11-30,0.0009675858732462506
MYR,2005-11-30,0.2649357530798781
NOK,2005-11-30,0.14847589493845673
NZD,2005-11-30,0.7031854299978905
PLN,2005-11-30,0.3020782986950217
RUB,2005-11-30,0.0347175208912682
SAR,2005-11-30,0.26663111585121985
SEK,2005-11-30,0.12371338083927158
SGD,2005-11-30,0.5916459590580997
THB,2005-11-30,0.02424536307431204
TRY,2005-11-30,0.7378440197742198
TWD,2005-11-30,0.029836941116796706
USD,2005-11-30,1.0
ZAR,2005-11-30,0.15487068297971188
AUD,2005-12-01,0.7411250277921886
CAD,2005-12-01,0.8547739123001966
CHF,2005-12-01,0.7568876778686043
CNY,2005-12-01,0.12381754246941708
CZK,2005-12-01,0.04048664952731837
DKK,2005-12-01,0.15713881643043465
EUR,2005-12-01,1.171077668223491
GBP,2005-12-01,1.7298045320878743
HKD,2005-12-01,0.12894573963276254
HUF,2005-12-01,0.004643012683782049
ILS,2005-12-01,0.21422450728363324
INR,2005-12-01,0.021701388888888888
JPY,2005-12-01,0.008300821781356355
KRW,2005-12-01,0.0009666505558240695
MYR,2005-12-01,0.2645852626008731
NOK,2005-12-01,0.14719519554881727
NZD,2005-12-01,0.7045230379033395
PLN,2005-12-01,0.3007699711260828
RUB,2005-12-01,0.034644032565390614
SAR,2005-12-01,0.2666382252559727
SEK,2005-12-01,0.12335779929686055
SGD,2005-12-01,0.5911213572146362
THB,2005-12-01,0.024221872350732712
